OWL Slug,Product Name,Excel ID,Status,Printful ID,External ID,Store ID,Store Name,Match Type,Action
owl-cotton-kids-t-shirt,"OWL Cotton Kids T-Shirt",4517696473,FOUND,436901241,4517696473,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-throw-blanket,"OWL Throw Blanket",4517694662,FOUND,436902009,4517694662,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-flat-bill-cap,"OWL Flat Bill Cap",4517691576,FOUND,436900911,4517691576,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-insulated-tumbler,"OWL Teal Insulated Tumbler W/ Straw",4517687356,FOUND,436899439,4517687356,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-wine-tumbler,"OWL Teal Wine Tumbler",4517685872,FOUND,436899094,4517685872,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-enamel-mug,"OWL Teal Enamel Mug",4517685153,FOUND,437050380,4517957803,18286248,"OwlSingTogetherStore",name,"Already in store"
owl-spiral-notebook,"OWL Spiral Notebook",4517683038,FOUND,436898141,4517683038,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-insect-sticker-set-ii,"OWL Insect Sticker Set II",4517610007,FOUND,436882193,4517610007,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-insect-sticker-set,"OWL Insect Sticker Set",4517608787,FOUND,436882193,4517610007,18286248,"OwlSingTogetherStore",name,"Already in store"
owl-animal-sticker-set-iii,"OWL Animal Sticker Set III",4517605519,FOUND,436881374,4517605519,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-animal-sticker-set-ii,"OWL Animal Sticker Set II",4517603787,FOUND,436881374,4517605519,18286248,"OwlSingTogetherStore",name,"Already in store"
owl-counting-sticker-set,"OWL Counting Sticker Set",4517602369,FOUND,436880565,4517602369,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-aplus-sticker-set,"OWL A+ Sticker Set",4517600519,FOUND,436880333,4517600519,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-colors-sticker-set,"OWL Colors Sticker Set",4517598855,FOUND,436879876,4517598855,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-music-sticker-set,"OWL Music Sticker Set",4517593458,FOUND,436879679,4517593458,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-seasons-sticker-set,"OWL Seasons Stickers Set",4517593209,FOUND,436879251,4517593209,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-preschool-sticker-set,"OWL Pre-School Sticker Set",4517591892,FOUND,436879492,4517591892,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-holiday-sticker-set,"OWL Holiday Sticker Set",4517587082,FOUND,436878833,4517587082,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-animal-sticker-set,"OWL Animal Sticker Set",4517501369,FOUND,436881736,4517607203,18286248,"OwlSingTogetherStore",name,"Already in store"
owl-numbers-sticker-set,"OWL Numbers Sticker Set",4517499640,FOUND,436862004,4517499640,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-baby-boy-sticker-set,"OWL Baby Boy Sticker Set",4517496529,FOUND,436860629,4517496529,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-baby-girl-sticker-set,"OWL Baby Girl Sticker Set",4517494654,FOUND,436860964,4517494654,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-holographic-stickers,"OWL Holographic Stickers",4517393453,FOUND,436841220,4517393453,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-mouse-pad,"OWL Mouse Pad",4517390143,FOUND,436840509,4517390143,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-water-bottle,"OWL Stainless Steel Water Bottle",4517069629,FOUND,436764068,4517069629,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-duffle-bag,"OWL Space Planets Duffle Bag",4517061382,FOUND,436763425,4517061382,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-backpack,"OWL Space Planet Backpack",4517027775,FOUND,436754670,4517027775,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-infant-bodysuit,"OWL Infant Bodysuit",4516944689,FOUND,436736163,4516944689,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-tote-bag,"OWL Eco-Friendly Tote Bag",4516917473,FOUND,436731297,4516917473,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-glossy-mug,"White OWL Glossy Mug",4516915899,FOUND,436731071,4516915899,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-t-shirt,"OWL T-Shirt",4516906642,FOUND,437195070,6a269c923aee07,18296796,"OWL Sing Together",name,"Already in store"
owl-embroidered-beanie,"Embroidered Beanie",4516897484,FOUND,437195064,6a269c88222af6,18296796,"OWL Sing Together",name,"Already in store"
owl-sweatshirt,"OWL Sweatshirt",4516880570,FOUND,436722721,4516880570,18286248,"OwlSingTogetherStore",external_id,"Already in store"
owl-abcs-sticker-set,"OWL ABC's Sticker Set",N/A,FOUND,436878466,4517588735,18286248,"OwlSingTogetherStore",name,"Already in store"
